Systematic || Standard	cbf1_dmet6_t0	cbf1_dmet6_t2.5	cbf1_dmet6_t5	cbf1_dmet6_t15	cbf1_dmet6_t30	cbf1_dmet6_t45	cbf1_dmet6_t60	cbf1_dmet6_t90	met31_dmet6_t0	met31_dmet6_t2.5	met31_dmet6_t5	met31_dmet6_t15	met31_dmet6_t30	met31_dmet6_t45	met31_dmet6_t60	met31_dmet6_t90	met32_dmet6_t0	met32_dmet6_t2.5	met32_dmet6_t5	met32_dmet6_t15	met32_dmet6_t30	met32_dmet6_t45	met32_dmet6_t60	met32_dmet6_t90	met28_dmet6_t0	met28_dmet6_t2.5	met28_dmet6_t5	met28_dmet6_t15	met28_dmet6_t30	met28_dmet6_t45	met28_dmet6_t60	met28_dmet6_t90	met4_dmet6_t0	met4_dmet6_t2.5	met4_dmet6_t5	met4_dmet6_t15	met4_dmet6_t30	met4_dmet6_t45	met4_dmet6_t60	met4_dmet6_t90	wt_dmet6_t0	wt_dmet6_t2.5	wt_dmet6_t5	wt_dmet6_t15	wt_dmet6_t30	wt_dmet6_t45	wt_dmet6_t60	wt_dmet6_t90
YDR368W || YPR1	0	0.131446	0.272531	0.231624	0.351592	0.040924	-0.220447	-0.253087	0	0.050456	0.052111	0.02169	-0.020363	-0.113841	-0.23169	-0.255197	0	0.045792	0.043462	0.366214	0.00811	-0.143439	-0.168252	-0.227648	0	0.044053	0.11486	0.066712	0.272188	0.15659	0.059778	-0.104806	0	0.092234	0.011029	0.127975	0.047709	0.078128	0.064088	0.445055	0	0	0	0	0	0	0	0
YKL072W || STB6	0	-0.012877	-0.117784	-0.054937	-0.095805	-0.068533	-0.113128	-0.149567	0	0.043793	-0.022191	0.032046	0.066593	-0.073081	-0.053395	-0.089157	0	-0.165275	-0.073584	-0.398664	0.14243	0.079942	-0.001302	0.065505	0	-0.055599	-0.102952	-0.024298	-0.034889	-0.058568	-0.042457	-0.116979	0	0.013681	-0.033029	0.109397	0.02434	0.102287	0.075944	0.164033	0	0	0	0	0	0	0	0
Q0130 || OLI1	0	-0.054198	-0.158769	-0.01447	0.291246	-0.216141	-0.201506	-0.54055	0	-0.546416	-0.347338	-0.561926	-0.697459	-0.291273	-0.198434	-0.109882	0	-0.218417	-0.324807	-2.000339	-0.249398	-0.291961	0.013428	0.139838	0	-0.108523	-0.292076	-0.316	-0.011012	-0.105729	-0.413953	-0.508913	0	-0.317216	-0.166301	-0.258782	-0.340232	0.030664	0.413543	0.750853	0	0	0	0	0	0	0	0
YLL054C || YLL054C	0	-0.139068	-0.104769	-0.311531	-0.308304	-0.172585	-0.061461	0.033108	0	0.168216	-0.053452	-0.167843	-0.29391	-0.118808	-0.29004	-0.339055	0	0.271711	0.148602	-0.356789	-0.038082	-0.133916	-0.121358	-0.311419	0	0.088115	0.022232	0.119719	-0.071617	-0.380881	-0.376394	-0.278884	0	-0.117645	-0.301608	-0.227421	-0.356747	-0.020621	-0.076035	0.060521	0	0	0	0	0	0	0	0
YKR092C || SRP40	0	0.168398	-0.025861	-0.177848	-0.099774	-0.031706	-0.149441	0.26533	0	0.033786	-0.089591	-0.513911	-0.241509	-0.131739	-0.240266	-0.237219	0	-0.022355	-0.003586	-0.521654	-0.156572	-0.367744	-0.420898	-0.341431	0	0.366564	0.152654	0.115733	0.099518	-0.186835	-0.16646	-0.055349	0	-0.133935	-0.203495	-0.492743	-0.211157	-0.305466	-0.177573	-0.181937	0	0	0	0	0	0	0	0
YNL268W || LYP1	0	0.033753	-0.18297	-0.191379	-0.01338	0.079779	-0.192235	0.159718	0	-0.037267	-0.192258	-0.192334	-0.170445	-0.24309	-0.264284	-0.345355	0	-0.092521	-0.090194	-0.310241	-0.054114	-0.175859	-0.307491	-0.317115	0	0.143988	0.085151	0.004013	0.049035	0.094453	0.122339	0.081776	0	-0.037409	-0.08529	-0.106472	0.001838	0.041608	0.056561	0.019536	0	0	0	0	0	0	0	0
YDR174W || HMO1	0	-0.015052	-0.009901	-0.044726	-0.176051	-0.191679	-0.193793	-0.118583	0	-0.126556	-0.281593	-0.260661	-0.269653	-0.288757	-0.442243	-0.31823	0	0.001179	0.031643	0.391015	0.09457	-0.073045	0.021	0.15444	0	-0.112312	-0.076257	-0.195284	-0.022282	-0.323186	-0.284409	-0.137533	0	0.962427	-0.176552	-0.030211	-0.224352	-0.055574	-0.05677	0.121427	0	0	0	0	0	0	0	0
YOL119C || MCH4	0	-0.100044	-0.060367	-0.203733	-0.303914	-0.173429	-0.107492	-0.143513	0	-0.07153	-0.135216	-0.351219	-0.1112	-0.278868	-0.297376	-0.471259	0	0.077192	-0.033355	-0.364022	-0.119472	-0.162772	-0.228658	-0.119732	0	-0.123686	-0.207406	-0.156342	-0.006929	-0.114226	-0.192853	-0.480573	0	0.071372	-0.000862	0.008046	-0.076355	-0.026315	-0.30602	-0.273676	0	0	0	0	0	0	0	0
YOR328W || PDR10	0	-0.186262	-0.183221	-0.153968	-0.257585	-0.291444	-0.321595	-0.563315	0	-0.091467	-0.276961	-0.255202	-0.249499	-0.383128	-0.540078	-0.640143	0	0.062154	-0.038363	-0.230887	0.020106	-0.043072	-0.204789	0.004755	0	-0.042189	-0.18958	-0.21911	-0.322601	-0.512573	-0.669658	-0.841647	0	-0.08004	-0.198164	-0.104508	-0.150418	-0.172967	-0.30881	-0.350696	0	0	0	0	0	0	0	0
YNR044W || AGA1	0	-0.001424	0.14962	-0.230391	-0.084853	-0.167611	-0.332376	-0.547642	0	-0.079547	-0.031853	-0.346381	-0.511188	-0.660734	-0.791546	-0.94853	0	0.183277	0.10646	-0.166896	0.119401	0.139517	0.008385	-0.007463	0	0.052887	0.002853	-0.374794	-0.049989	-0.118062	-0.175265	-0.440486	0	0.00336	0.012206	-0.213767	-0.233029	-0.16929	-0.226791	-0.186876	0	0	0	0	0	0	0	0
Q0105 || COB	0	-0.179417	-0.234944	-0.11925	-0.337372	-0.279472	-0.167379	-0.189347	0	-0.493253	-0.618226	-0.312325	-0.192418	-0.786873	-1.107748	-0.858069	0	-0.920951	-0.755037	-0.897455	-0.232024	-0.557935	-0.712533	-0.561004	0	-1.270469	0.327454	-1.352047	-1.22997	-0.964207	-0.871518	-1.342067	0	-0.096079	0.047513	0.070396	-0.102629	0.227294	0.198053	0.358104	0	0	0	0	0	0	0	0
YMR193C-A || YMR193C-A	0	-0.310138	-0.23866	-0.327374	-0.573925	-0.466309	-0.597475	-0.03333	0	-0.184785	-0.207572	-0.098001	-0.341361	-0.527987	-0.604174	-0.451578	0	-0.38773	-0.268447	-0.465687	-0.522262	-0.50087	-0.45193	-0.375954	0	-0.247397	0.013104	-0.734694	-0.593744	-0.407692	-0.389663	-0.596658	0	0.018955	0.067008	-0.038074	-0.261158	-0.313875	-0.22588	-0.096784	0	0	0	0	0	0	0	0
YMR081C || ISF1	0	-0.187957	-0.539375	-0.74003	-0.663959	-0.71283	-0.759433	-0.899687	0	-0.11265	-0.306128	-0.485832	-0.544685	-0.635894	-0.588102	-0.520571	0	-0.036907	-0.291696	-0.668347	-0.430185	-0.439901	-0.486196	-0.637627	0	-0.073931	-0.397338	-0.650372	-0.633859	-0.725433	-0.809244	-0.936954	0	-0.068195	-0.268103	-0.639497	-0.338388	-0.070819	0.104438	0.070267	0	0	0	0	0	0	0	0
YGR206W || MVB12	0	-0.002178	-0.11065	-0.014186	-0.087323	-0.103219	-0.01121	-0.027002	0	-0.018941	-0.062311	-0.028122	-0.05911	-0.159055	-0.1699	-0.109056	0	-0.084466	-0.070697	-0.132516	-0.111349	-0.086022	0.000004	-0.037587	0	-0.054294	-0.067179	-0.122394	-0.098628	-0.081606	-0.053475	-0.075662	0	-0.005012	0.004069	0.007697	-0.039827	0.005132	-0.025985	-0.200438	0	0	0	0	0	0	0	0
YHR034C || PIH1	0	-0.353028	-0.356811	-0.498346	-0.2345	-0.350905	-0.336442	-0.458758	0	-0.115623	-0.102443	-0.157135	-0.124974	-0.124305	-0.137612	-0.489432	0	0.219269	0.007053	0.033676	-0.067053	0.005667	-0.190352	-0.268647	0	0.007998	-0.170781	-0.166833	-0.093272	-0.096901	-0.444541	-0.67354	0	-0.074445	-0.248923	-0.3118	-0.187868	-0.12554	0.058971	0.489963	0	0	0	0	0	0	0	0
YEL074W || YEL074W	0	-0.179377	-0.249376	-0.380636	-0.260079	-0.21645	-0.272884	-0.174029	0	0.049074	-0.127394	-0.322699	-0.159986	-0.215152	-0.255901	-0.192589	0	0.008833	-0.064068	-0.132722	0.005902	0.031728	0.037543	0.181716	0	-0.072751	-0.270718	-0.371787	-0.398711	-0.420824	-0.330314	-0.324298	0	-0.059603	-0.118889	-0.299299	0.043968	0.221634	0.244197	0.121078	0	0	0	0	0	0	0	0
YML051W || GAL80	0	-0.383242	-0.532043	-1.081357	-1.132031	-1.06768	-0.988611	-1.054215	0	-0.191563	-0.173517	-0.571629	-0.601002	-0.641364	-0.677377	-0.651213	0	-0.129978	-0.233802	-0.165947	-0.276361	-0.336463	-0.384055	-0.318352	0	-0.390491	-0.724806	-1.164433	-1.18778	-1.052301	-1.005652	-1.071907	0	0.010729	0.075624	0.344741	0.672805	0.679801	0.673089	0.573899	0	0	0	0	0	0	0	0
YJL157C || FAR1	0	-0.388769	-0.734384	-0.480304	-0.469689	-0.415568	-0.197452	-0.27014	0	-0.287672	-0.17508	-0.474579	-0.405328	-0.419261	-0.476982	-0.509571	0	-0.221896	-0.126849	-0.191275	0.014086	-0.058925	-0.055761	-0.041684	0	-0.269551	-0.428879	-0.391767	-0.320423	-0.371524	-0.261356	-0.341112	0	-0.103771	-0.131489	-0.123026	0.014055	0.170984	0.260731	0.39259	0	0	0	0	0	0	0	0
YLR070C || XYL2	0	0.046945	0.008709	-0.044118	0.101465	-0.098442	-0.234051	-0.206568	0	-0.00976	-0.041309	-0.308977	-0.429134	-0.451459	-0.372502	-0.295796	0	0.020239	-0.02697	-0.019737	-0.23404	-0.244135	-0.07677	0.019389	0	0.012016	-0.010287	-0.301668	-0.360454	-0.326167	-0.523966	-0.329326	0	0.006561	-0.035703	0.007036	0.152079	0.128635	0.17751	0.290873	0	0	0	0	0	0	0	0
YLR413W || YLR413W	0	0.137684	0.271949	0.185536	0.170054	0.175265	0.150348	0.196409	0	0.074266	-0.229279	-0.834282	-1.223919	-1.376031	-1.366148	-1.377309	0	0.202701	0.062605	0.065268	0.037759	0.045509	0.046128	0.045788	0	0.106431	0.237287	0.183187	0.174725	0.186943	0.178761	0.18227	0	-0.088171	0.090395	0.094285	-0.013244	0.030944	0.023175	0.042718	0	0	0	0	0	0	0	0
YDR461W || MFA1	0	0	0	0	0	0	0	0	0	0.58999	0.508794	0.314657	-0.322975	-0.887543	-1.057301	-1.639837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YLR134W || PDC5	0	-0.047987	-0.076512	-0.205055	-0.153937	-0.108645	-0.093456	0.364347	0	0.10508	0.030194	0.014201	0.033229	-0.205522	-0.293962	-0.339951	0	0.139542	0.063334	0.072877	0.277006	0.155376	0.096031	0.343912	0	0.022388	-0.021907	-0.097036	-0.078469	-0.116355	-0.110493	0.028717	0	0.029278	-0.041326	-0.070331	0.037892	0.318033	0.185376	0.185716	0	0	0	0	0	0	0	0
YCR048W || ARE1	0	-0.148424	-0.060741	-0.112594	-0.031486	0.055955	0.043036	0.290559	0	-0.063301	-0.152616	-0.322379	-0.274875	-0.266101	-0.322651	-0.365523	0	0.216467	0.118681	-0.120561	0.042381	0.119833	0.081658	0.190423	0	0.142981	0.024556	0.046681	0.114449	-0.002319	-0.008008	-0.02107	0	-0.062675	-0.147884	-0.152267	-0.05204	0.087271	0.161119	0.107161	0	0	0	0	0	0	0	0
YMR272C || SCS7	0	-0.116686	-0.18651	-0.058506	-0.030228	-0.029579	-0.047063	0.058674	0	-0.161939	-0.18637	-0.273482	-0.278312	-0.243464	-0.24713	-0.353134	0	0.206612	0.087539	0.123589	0.060243	0.057559	-0.016247	-0.002294	0	0.109836	-0.020051	-0.001863	-0.044481	-0.1114	-0.145031	-0.217022	0	-0.016348	-0.089297	-0.001407	0.033649	0.098782	0.020512	0.313597	0	0	0	0	0	0	0	0
YAL039C || CYC3	0	-0.05188	-0.130929	-0.226405	-0.132655	0.019486	0.04647	0.143137	0	-0.041177	-0.125844	-0.173477	-0.124284	-0.072879	-0.092701	-0.263045	0	-0.094704	-0.124052	0.189544	0.046211	0.09181	0.046602	0.032718	0	0.202068	0.078578	0.000631	0.017112	0.012918	-0.055751	-0.225589	0	-0.128191	-0.068395	-0.099112	0.066511	-0.009982	0.165085	0.331141	0	0	0	0	0	0	0	0
YPR124W || CTR1	0	0.044344	-0.026871	-0.060195	-0.046023	0.004297	-0.005356	0.333056	0	-0.069431	-0.118955	0.019224	0.14406	0.082493	-0.002053	0.007857	0	-0.055554	-0.053849	-0.20936	0.028262	-0.08146	-0.046543	-0.032407	0	-0.029932	-0.095162	-0.085456	0.067307	0.28264	0.243037	0.263396	0	0.01838	-0.048762	-0.006225	0.100949	0.028609	-0.22788	-0.155873	0	0	0	0	0	0	0	0
YHR055C || CUP1-2	0	0.017736	-0.045565	-0.039866	-0.103149	0.195323	0.283425	0.526253	0	-0.152912	-0.072666	0.074407	0.110531	-0.069526	0.054784	0.101785	0	-0.556314	-0.492188	-0.175739	-0.376735	-0.329573	-0.20528	-0.160264	0	-0.247759	-0.128009	-0.342551	-0.095542	0.299287	0.383626	0.250334	0	0.165298	0.286139	0.230577	0.026948	-0.310797	-0.539836	-0.934854	0	0	0	0	0	0	0	0
YHR053C || CUP1-1	0	0.017156	-0.058872	-0.060212	-0.083409	0.232901	0.350267	0.645245	0	-0.107217	0.007631	0.153807	0.20741	0.023175	0.217175	0.303057	0	-0.625491	-0.536818	-0.206741	-0.422712	-0.362313	-0.174485	-0.178276	0	-0.25336	-0.137372	-0.32512	-0.137845	0.260278	0.36049	0.238445	0	0.182662	0.272284	0.178214	0.061441	-0.294701	-0.487817	-0.863855	0	0	0	0	0	0	0	0
YDR508C || GNP1	0	-0.147401	-0.286974	-0.158035	-0.460237	0.041073	0.273399	1.108806	0	0.315419	0.191839	0.012011	-0.033804	0.01819	0.13654	0.357801	0	-0.209081	-0.255471	-0.75974	-0.694075	-0.80484	-0.760904	-0.392872	0	-0.0165	-0.208766	-0.081476	0.179458	0.447486	0.530323	0.646394	0	-0.058566	-0.188355	-0.602401	-0.743709	-0.78107	-0.592865	0.050287	0	0	0	0	0	0	0	0
YBL054W || TOD6	0	-0.057657	-0.624017	-0.254532	-0.291447	0.134696	0.28719	0.429923	0	0.149833	-0.120014	-0.098791	0.107821	0.030018	-0.019816	0.220282	0	0.024086	-0.03137	-0.349075	-0.053298	-0.340849	-0.311826	-0.271919	0	0.047688	-0.354306	-0.022717	0.086688	0.151483	0.208522	0.292799	0	-0.027249	-0.181959	-0.15597	-0.343982	-0.350862	-0.296719	-0.390889	0	0	0	0	0	0	0	0
YCR072C || RSA4	0	0.170759	-0.204529	-0.105054	-0.078579	0.139724	0.192074	0.270231	0	0.062406	-0.260095	-0.103366	0.090219	0.014264	-0.042808	0.227007	0	0.08452	0.047427	-0.419631	-0.12405	-0.333518	-0.247846	-0.250185	0	0.148607	-0.044529	0.082853	0.127941	0.088701	0.248653	0.289073	0	-0.020829	-0.11892	-0.171792	-0.445056	-0.357272	-0.358457	-0.279158	0	0	0	0	0	0	0	0
YNR053C || NOG2	0	-0.022018	-0.064465	-0.091477	-0.070987	0.29131	0.491742	0.5999	0	0.048257	-0.128995	-0.119808	0.06869	0.176248	0.254334	0.340647	0	0.245752	0.123517	-0.356173	-0.197498	-0.181214	-0.213304	-0.096826	0	0.203838	0.062244	0.215311	0.214144	0.121089	0.215381	0.348431	0	-0.096152	-0.148535	-0.348098	-0.650086	-0.740513	-0.723479	-0.710419	0	0	0	0	0	0	0	0
YBR104W || YMC2	0	-0.057044	-0.294149	-0.128341	-0.213967	0.046173	0.298748	0.623398	0	-0.034677	0.029798	0.021749	0.24032	0.230514	0.214051	0.220038	0	-0.020294	0.02736	-0.116424	-0.138458	-0.118608	-0.100185	-0.123761	0	-0.099897	-0.024363	0.017378	0.012884	0.116086	0.139265	0.128754	0	0.056407	0.119487	-0.12319	-0.173545	-0.274462	-0.258862	-0.380387	0	0	0	0	0	0	0	0
YOR128C || ADE2	0	0.246551	0.202107	0.193796	0.20793	0.120504	0.133687	0.632992	0	-0.136379	-0.048402	0.121565	-0.037993	0.190707	0.13505	0.388997	0	-0.255587	-0.124565	-0.495579	-0.368409	-0.432645	-0.390924	-0.473085	0	0.040075	0.192111	0.127969	0.104287	0.156034	0.206076	0.223185	0	0.097255	0.193739	0.125212	-0.226462	-0.250409	-0.328404	-0.445599	0	0	0	0	0	0	0	0
YAR015W || ADE1	0	0.180334	0.082723	0.114142	-0.011661	0.024672	0.285676	0.505371	0	-0.120433	-0.029853	0.007609	0.035783	0.152614	0.239845	0.352054	0	-0.281439	-0.196311	-0.443553	-0.446019	-0.39005	-0.329721	-0.437618	0	-0.073035	-0.076351	0.052514	0.021396	0.171582	0.142061	0.184896	0	0.03353	0.146045	-0.02317	-0.242012	-0.458008	-0.53377	-0.757861	0	0	0	0	0	0	0	0
YIL094C || LYS12	0	0.168208	0.12708	0.150099	0.175546	0.129786	0.174602	0.37336	0	-0.012053	0.102689	0.14471	0.165955	0.222217	0.255412	0.32711	0	-0.145799	-0.011092	-0.516958	-0.149218	-0.189198	-0.195018	-0.279163	0	-0.006315	-0.008524	-0.048232	-0.046815	0.126082	0.056779	0.051768	0	0.07339	0.150843	0.103967	0.003398	-0.220972	-0.223853	-0.163444	0	0	0	0	0	0	0	0
YOR074C || CDC21	0	0.227026	0.033238	0.064498	0.202077	0.321825	0.091892	0.008504	0	-0.01289	0.040659	0.07329	0.062163	0.142198	0.204865	0.207289	0	-0.39487	-0.218916	-0.587051	-0.333801	-0.307466	-0.23687	-0.293041	0	0.043121	0.161835	0.004098	0.04491	0.168921	0.333978	0.128623	0	0.042728	0.255163	0.091293	0.089966	-0.014927	-0.039474	-0.2906	0	0	0	0	0	0	0	0
YJL041W || NSP1	0	0.205715	0.066405	0.041379	0.123789	0.160621	0.081008	0.249284	0	0.011381	-0.033871	0.011734	0.121509	0.096885	0.143143	0.358566	0	-0.231809	-0.030039	-0.895244	-0.265172	-0.37712	-0.504227	-0.461295	0	0.118399	0.179472	0.163582	0.204755	0.224188	0.323917	0.318471	0	0.054412	0.04814	-0.076231	0.033703	-0.06606	-0.090452	-0.233296	0	0	0	0	0	0	0	0
YDR097C || MSH6	0	-0.035689	0.035823	-0.038401	0.14639	0.344953	0.285452	0.08584	0	-0.174966	-0.03264	-0.087215	0.010312	0.087331	0.119979	0.071919	0	-0.041657	0.014735	-0.625383	-0.143075	-0.170405	-0.287261	-0.224276	0	0.116745	0.158545	0.080142	0.249989	0.300328	0.337709	0.146862	0	0.076519	0.181373	0.130489	0.009688	-0.363663	-0.544585	-0.807727	0	0	0	0	0	0	0	0
YLR183C || TOS4	0	0.22938	0.172367	0.19614	0.358305	0.59382	0.496753	0.233548	0	-0.005844	0.051493	0.047247	0.174126	0.238801	0.200503	0.195521	0	-0.154194	-0.046635	-0.33181	-0.223862	-0.162259	-0.075294	-0.267208	0	-0.050231	0.061959	0.090165	0.092521	0.199297	0.35043	0.141219	0	0.010077	0.008093	0.061382	0.045236	-0.083834	-0.327051	-0.545497	0	0	0	0	0	0	0	0
YNL061W || NOP2	0	0.022525	-0.008374	-0.172835	-0.117241	0.173781	0.200655	0.459654	0	0.107615	0.046779	-0.168229	0.079414	0.053326	0.045054	0.112269	0	-0.038051	-0.095482	-0.409286	-0.060306	-0.090662	-0.155632	-0.095419	0	0.201035	0.136279	0.081743	0.097553	0.115624	0.17024	0.228176	0	-0.004364	0.066514	-0.235034	-0.102554	-0.172047	-0.176665	-0.081101	0	0	0	0	0	0	0	0
YGL078C || DBP3	0	0.058867	0.002778	-0.069744	-0.02322	0.358345	0.365908	0.743456	0	-0.038128	-0.093728	-0.244357	0.077832	-0.078426	-0.004154	0.103283	0	-0.151822	-0.084956	-0.367435	0.084055	-0.123986	-0.159648	-0.014745	0	0.108733	0.077575	-0.126282	0.094718	0.201047	0.278877	0.315318	0	-0.004782	-0.000212	-0.345352	0.069124	-0.086594	-0.056934	-0.172207	0	0	0	0	0	0	0	0
YBR247C || ENP1	0	0.089069	-0.119569	-0.101564	-0.073599	0.262996	0.206837	0.344877	0	0.079799	-0.07648	-0.063417	0.139095	0.005787	-0.043584	-0.034821	0	-0.097067	-0.067456	-0.376153	0.050918	-0.042921	-0.160576	-0.174551	0	0.060697	-0.041173	-0.0611	0.091366	0.141642	0.197292	0.172099	0	0.044622	-0.053043	-0.139273	0.049023	-0.038938	0.051613	-0.151356	0	0	0	0	0	0	0	0
YER006W || NUG1	0	0.249632	0.182083	-0.045663	0.001889	0.22858	0.376483	0.613176	0	0.107962	0.108408	-0.093818	0.042189	0.06884	0.024096	0.12215	0	-0.130655	0.008077	-0.371061	-0.15719	-0.266113	-0.256634	-0.203334	0	0.218796	0.281807	0.105952	0.195737	0.116177	0.226623	0.360415	0	0.065905	0.168094	-0.050128	0.054605	-0.116208	-0.067812	-0.212215	0	0	0	0	0	0	0	0
YOR206W || NOC2	0	0.094894	-0.069835	0.029208	0.118434	0.39969	0.394006	0.669457	0	0.073225	0.070661	-0.049838	0.216369	0.180512	0.149431	0.299567	0	-0.165569	-0.072939	-0.40747	-0.182019	-0.256208	-0.231497	-0.183036	0	-0.012534	-0.069953	0.20326	0.109817	0.222952	0.280304	0.443542	0	0.005379	0.044398	-0.136094	0.083268	-0.122945	-0.092758	-0.16753	0	0	0	0	0	0	0	0
YOR309C || YOR309C	0	0.120678	0.038065	0.093048	0.14838	0.382374	0.575712	0.905801	0	0.110443	0.131533	-0.087063	0.138102	0.089938	0.118881	0.220099	0	-0.195667	-0.11401	-0.426448	-0.131851	-0.263825	-0.229563	-0.147515	0	0.056485	0.039077	0.062705	0.097843	0.011503	0.208674	0.33586	0	-0.025769	-0.031564	-0.168958	-0.013281	-0.207043	-0.206812	-0.331774	0	0	0	0	0	0	0	0
YGL099W || LSG1	0	0.262173	0.206393	0.113081	0.098579	0.311661	0.226036	0.330088	0	0.083372	0.127713	0.061322	0.124395	0.122839	0.087344	0.109067	0	-0.287292	-0.139105	-0.445214	-0.192938	-0.232412	-0.288273	-0.346883	0	0.096341	0.094418	0.072915	0.067469	0.085509	0.201056	0.165326	0	0.035872	0.134774	-0.058514	0.038646	-0.089242	-0.104453	-0.155704	0	0	0	0	0	0	0	0
YJL200C || ACO2	0	0.202036	0.095677	0.103999	0.125588	0.19139	0.15738	0.584121	0	0.067152	0.117318	0.101056	0.160753	0.158943	0.160783	0.258308	0	-0.245395	-0.125397	-0.340461	-0.047467	-0.248864	-0.235594	-0.16913	0	0.121808	0.22274	-0.002598	0.082694	0.261116	0.321159	0.262483	0	0.029991	0.099618	0.102001	0.07278	-0.111879	-0.177565	-0.055432	0	0	0	0	0	0	0	0
YLR196W || PWP1	0	0.125828	-0.002062	-0.016025	0.037537	0.251856	0.149456	0.52142	0	-0.056875	-0.130888	-0.240313	-0.107709	-0.177715	-0.287087	-0.202553	0	-0.22423	-0.119615	-0.366001	-0.076215	-0.318291	-0.42252	-0.292266	0	0.077264	0.013149	-0.087721	0.089627	0.159442	0.218132	0.296907	0	-0.014971	0.023289	-0.131927	-0.124317	-0.216126	-0.297632	-0.365677	0	0	0	0	0	0	0	0
YGL120C || PRP43	0	0.153372	0.083691	-0.018236	-0.005381	0.208048	0.102815	0.323766	0	0.096166	-0.093613	-0.17757	0.008275	-0.091243	-0.218935	-0.097738	0	-0.13388	-0.08311	-0.373596	-0.01515	-0.207153	-0.266444	-0.248762	0	0.177131	0.16507	0.094471	0.152609	0.155563	0.335473	0.312515	0	0.008654	0.019447	-0.064657	-0.022871	-0.14583	-0.230716	-0.369313	0	0	0	0	0	0	0	0
YGR103W || NOP7	0	-0.121859	-0.13587	-0.187233	-0.07338	0.301723	0.4743	0.696359	0	-0.134663	-0.069526	-0.267171	-0.069287	-0.086226	-0.165478	-0.077225	0	-0.275263	-0.263687	-0.501246	-0.151917	-0.24651	-0.295968	-0.190197	0	-0.123136	-0.147816	-0.2618	0.030141	0.089742	0.122259	0.138787	0	-0.013127	0.01626	-0.255046	-0.123462	-0.403492	-0.506	-0.717214	0	0	0	0	0	0	0	0
YLR197W || NOP56	0	0.096838	0.116939	-0.130544	-0.006969	0.276232	0.318549	0.630724	0	-0.056148	0.047272	-0.155402	-0.047323	0.019641	-0.009494	0.031623	0	-0.135864	-0.039581	-0.311201	-0.296089	-0.2709	-0.325496	-0.296415	0	-0.0257	0.097121	-0.03488	0.042053	0.229812	0.312177	0.355919	0	-0.006445	0.064333	-0.179186	-0.275716	-0.373038	-0.473214	-0.628955	0	0	0	0	0	0	0	0
YOL027C || MDM38	0	0.144005	0.147409	-0.012218	-0.017468	0.195946	0.268168	0.554717	0	-0.049379	-0.10083	-0.043256	-0.035884	-0.130036	-0.073204	-0.007189	0	-0.484903	-0.174295	-0.718937	-0.358649	-0.507953	-0.676582	-0.47515	0	0.02928	0.079188	-0.060387	-0.086101	0.020901	0.192191	0.20161	0	-0.109996	-0.03627	-0.236996	-0.34452	-0.557339	-0.628944	-0.946652	0	0	0	0	0	0	0	0
YOR198C || BFR1	0	0.095485	-0.030264	0.072316	0.09465	0.232687	0.230519	0.288377	0	0.039476	0.051992	-0.032223	-0.010626	0.029652	0.165848	0.147599	0	-0.069876	-0.029605	-0.909598	-0.415893	-0.459077	-0.568466	-0.535822	0	0.013523	-0.045814	0.039655	-0.075252	-0.034592	-0.043925	-0.039254	0	-0.063458	-0.058347	-0.281356	-0.081125	-0.315822	-0.182877	-0.599372	0	0	0	0	0	0	0	0
YLR191W || PEX13	0	0.010002	-0.056995	0.026073	0.012586	0.124805	0.294838	0.295699	0	-0.109449	-0.059389	-0.074617	-0.001325	0.013912	0.090036	0.04875	0	-0.02814	-0.091368	-0.239752	-0.223797	-0.162398	-0.170401	-0.111896	0	-0.029686	-0.084189	0.125401	0.004946	0.030211	-0.013082	0.01904	0	-0.047809	-0.063486	-0.090395	-0.040054	-0.172016	-0.144541	-0.215959	0	0	0	0	0	0	0	0
YOR119C || RIO1	0	-0.083751	0.194109	0.159028	-0.011494	0.189042	0.411953	0.344827	0	-0.23169	0.027394	-0.130334	-0.118119	-0.091444	-0.005579	0.061626	0	-0.119038	-0.13249	-0.431896	-0.413641	-0.358712	-0.379875	-0.229116	0	-0.088188	0.002173	0.011937	-0.078848	-0.037776	0.033018	0.030674	0	0.025747	0.102708	0.069137	-0.009086	-0.150292	-0.244968	-0.319261	0	0	0	0	0	0	0	0
YLR152C || YLR152C	0	-0.099434	0.066116	0.239909	0.285171	0.708143	0.955535	0.714784	0	-0.072711	0.069896	-0.04404	-0.099968	-0.151039	-0.148895	-0.25113	0	0.062844	-0.109617	-0.491643	-0.622564	-0.665515	-0.684186	-0.580337	0	0.02607	0.143906	0.617218	0.554542	0.671589	0.534806	0.543428	0	-0.060997	-0.198937	0.112684	0.153545	-0.052732	-0.455706	-0.348282	0	0	0	0	0	0	0	0
YIL140W || AXL2	0	-0.038807	-0.00394	-0.043723	0.056963	0.205307	0.235499	-0.016368	0	0.080232	-0.033112	-0.160671	-0.021569	-0.027042	0.045359	0.167234	0	-0.100514	-0.029043	-0.37422	-0.18204	-0.180392	-0.050381	0.063915	0	0.057754	-0.042227	0.071789	0.023824	-0.173848	0.068421	0.069685	0	-0.010265	0.066995	0.047169	-0.066245	-0.149466	-0.228186	-0.3344	0	0	0	0	0	0	0	0
